date,run_id,decision,target_layer,summary,source_artifact,status
2026-07-01,day-001,reflect,documentation pattern / uiux rule,For local CLI tools place the first-run example and expected output near the top of the README,Local note summarizer CLI,applied
2026-07-02,day-002,reflect,review rule / documentation pattern,Reviewer should explicitly check whether the last reflected learning improved the current artifact,README quickstart generator,applied
2026-07-02,day-003,reflect,uiux rule / review rule,For local web apps show what the tool does and the expected result above the fold before requiring user effort,Idea priority board,applied
2026-07-02,day-004,reflect,review rule / uiux rule,For classification or transformation tools show the rule behind the result near the result itself,JSON change explorer,applied
2026-07-02,day-005,reflect,review rule / documentation pattern,Heuristic local tools should surface uncertainty or confidence by default,Meeting decision extractor,applied
2026-07-03,day-005,reflect,uiux rule / capture rule,For browser demos keep the main function inside the final video frame and make the functional area more prominent than the hero copy,Meeting decision extractor,applied
2026-07-03,day-005,reflect,uiux rule / capture rule,For video demos prefer UI restructuring or screen transitions before using zoom to fit the frame,Meeting decision extractor,applied
2026-07-03,day-005,reflect,uiux rule / capture rule,Standardize principles and review criteria rather than locking UI or video output into a fixed template,Meeting decision extractor,applied
2026-07-04,day-007,reflect,uiux rule / reviewer rule,For browser normalization tools include one-click complete and incomplete sample states when that contrast improves review and demo clarity,Bug report repro builder,applied
2026-07-04,day-008,reflect,builder rule / reviewer rule,For agent task planning treat publish deploy and post actions as high-risk scope that must be explicitly requested rather than inferred from negated wording or broad delegation,Agent run scope planner,applied
2026-07-04,day-008,reflect,checklist / prompt rule,"publish, deploy, and posting actions should require explicit positive intent and should not be inferred from negated wording or broad delegation",Agent run scope planner,applied
2026-07-04,day-014,reflect,reviewer rule / tester rule,"For external-facing claims, review evidence sufficiency separately from wording quality, and test at least one derived-numeric-support boundary case.",Claim evidence mismatch checker,applied
2026-07-05,day-015,reflect,checklist / prompt rule / language rule / ai-factory rule,parser-heavy diff tool では unsupported input の明示と semantic reclassification case の確認を標準観点にする,Release note diff explainer,applied
2026-07-06,day-016,reflect,role / checklist / language rule / ai-factory rule,blocker 検出系では優先順位づけと metadata 欠損の分離表示を標準観点にする,Meeting blocker signal checker,applied
2026-07-07,day-017,reflect,role / checklist / language rule / ai-factory rule,contradiction 系では条件差分を単純矛盾扱いしていないかを標準観点にする,Policy contradiction viewer,applied
2026-07-08,day-018,reflect,role / checklist / language rule / ai-factory rule,triage 系ツールでは label より先に理由の透明性を確認する,Support urgency rubric checker,applied
2026-07-09,day-019,reflect,role / checklist / language rule / ai-factory rule,spec 系ツールでは抽出カテゴリ分離と欠損基準の明示を標準にする,Spec assumption mapper,applied
2026-07-05,day-023,reflect,prompt rule / checklist / language rule / ai-factory rule,"For parser-heavy validation helpers, `builder` should treat `common-but-not-yet-covered failure families` as part of MVP scope, not as optional polish. `tester` and `reviewer` should explicitly probe one repeated failure from the same tool that is outside the shipped happy-path examples and judge whether it is clustered specifically or only generically.",Validation log failure packer,applied
2026-07-05,day-026,reflect,prompt rule / checklist / language rule / ai-factory rule,tester` と `reviewer` に、reporting / coverage 系ツールでは happy path と基本 failure path だけで終わらず、`malformed-but-parseable input` と `type confusion input` を必ず 1 件ずつ当てるルールを加える。`builder` には、入力を silent skip する実装は「missing coverage を増やすだけの正常系」に見えやすいため、入力不正の surfacing 方針を handoff に明記させる。,Fixture edge-case matrix builder,applied
2026-07-05,day-027,reflect,prompt rule / checklist / language rule / ai-factory rule,"Strengthen builder, tester, and reviewer guidance for heuristic classifier tools. When the artifact extracts or labels text, commands, or snippets, require the builder to define both positive detection rules and explicit exclusion rules, require the tester to run at least one adversarial false-positive sample plus one mislabeled-format sample, and require the reviewer to challenge certainty wording in the UI and report copy.",Markdown command safety annotator,applied
2026-07-05,day-028,reflect,checklist / prompt rule / language rule / ai-factory rule,"Strengthen `tester` and `reviewer` instructions for heuristic checkers and parsers so they must try at least one adversarial minimal input that targets over-broad inheritance and one that targets false-positive classification, not only the documented happy path.",Runbook prerequisite gap checker,applied
2026-07-05,day-029,reflect,prompt rule / checklist / language rule / ai-factory rule,"Strengthen `builder`, `tester`, and `reviewer` guidance for reviewer-facing diff or migration tools: when evidence is derived from matched identifiers, preserve disambiguating context from analysis through final output, and do not allow the presentation layer to collapse distinct records into the same label.",Schema rename impact sketcher,applied
2026-07-05,day-030,reflect,checklist,"Strengthen `tester` and `reviewer` guidance for local review tools so they explicitly verify that any displayed score, severity, sort order, or summary metric is safe for the decision it claims to support. If a tool tells users what to fix first, the checks must confirm that ranking logic matches that goal.",Required field rationale annotator,applied
2026-07-05,day-031,reflect,checklist / language rule / ai-factory rule,"Strengthen `builder` and `tester` instructions for heuristic multi-source checkers so they must validate the claimed rule with a fixture, not only prove that the command launches and returns counts.",Config flag orphan checker,applied
2026-07-05,day-032,reflect,checklist / language rule / ai-factory rule,Strengthen `builder` and `tester` guidance for audit and checker-style tools so they treat malformed source data as a first-class failure case and explicitly verify that documented matcher behavior matches the real implementation.,Permission drift evidence mapper,applied
2026-07-05,day-033,reflect,checklist / prompt rule / ai-factory rule,"Strengthen `reviewer` instructions for parser, checker, and spec-driven tools so the review must probe at least two realistic non-happy-path input shapes that are common in the target format, even when the bundled sample passes.",API error example coverage grader,applied
